# Data from Commane Group at Columbia University/Lamont-Doherty Earth Observatory (atmoscomp.ldeo.columbia.edu)
# This is 1-hour merged data taken at ASRC from 2023-07-01 to 2023-07-31 (see ReadMe for more details)
# File: ASRC_1h_merge_20230701_to_20230731_v20240304.txt
# Data processed on 2024/03/04
# If you are using this data for a publication or for more information, please contact Roisin Commane (r.commane@columbia.edu)
#                  
UTC_time,CH4_ppb,CH4_sd,CO2_ppm,CO2_sd,CO_ppb,CO_sd,H2O_ppth,n,ch4.co2.Slope,ch4.co2.Slope.95.Uncertainty,ch4.co2.Intercept,ch4.co2.Intercept.95.Uncertainty,ch4.co2.r2,ch4.co.Slope,ch4.co.Slope.95.Uncertainty,ch4.co.Intercept,ch4.co.Intercept.95.Uncertainty,ch4.co.r2,co.co2.Slope,co.co2.Slope.95.Uncertainty,co.co2.Intercept,co.co2.Intercept.95.Uncertainty,co.co2.r2
2023-07-01 01:00:00,2112.93,9.1,434.03,1.56,737.22,22.08,19.06,3226,5.0216,0.3115,-66.62,135.19,0.737,0.3448,0.0234,1858.76,17.27,0.7,11.9009,0.8039,-4428.17,348.94,0.702
2023-07-01 02:00:00,2137.52,19.71,439.49,3.98,774.12,29.49,19.11,3235,4.6748,0.1709,83,75.12,0.89,0.5588,0.0381,1704.94,29.55,0.699,5.3571,0.5325,-1580.27,234.04,0.522
2023-07-01 03:00:00,2160.75,31.97,444.07,5.6,718.23,49.36,19.45,3242,5.0767,0.2716,-93.65,120.61,0.791,0.5713,0.0317,1750.44,22.84,0.778,8.2244,0.3298,-2933.99,146.47,0.87
2023-07-01 04:00:00,2125.66,19.91,435.76,3.06,641.83,24.47,19.33,3234,5.3543,0.3836,-207.52,167.15,0.678,0.7279,0.0378,1658.5,24.29,0.8,6.7359,0.4469,-2293.38,194.75,0.71
2023-07-01 05:00:00,2108.45,19.42,442.68,6.91,658.82,66.98,19.3,3230,1.061,0.2705,1638.76,119.78,0.142,0.25,0.0153,1943.76,10.12,0.743,3.3101,0.9469,-806.49,419.2,0.117
2023-07-01 06:00:00,2107.34,12.25,440.26,5.43,628.81,40.74,19.18,3240,1.0988,0.2049,1623.56,90.2,0.237,0.1623,0.0263,2005.29,16.58,0.291,4.3095,0.6384,-1268.49,281.1,0.33
2023-07-01 07:00:00,2159,18.09,446.74,1.71,646.8,25.34,19.01,3236,5.8843,0.9108,-469.74,406.87,0.311,0.5699,0.0447,1790.42,28.91,0.637,8.1356,1.2836,-2987.68,573.43,0.303
2023-07-01 08:00:00,2129.07,17.28,448.14,2.44,646.03,10.6,19.15,3241,-0.5175,0.7331,2360.99,328.52,0.005,0.9797,0.1355,1496.17,87.55,0.361,0.8969,0.441,244.08,197.62,0.043
2023-07-01 09:00:00,2096.05,18.12,439.92,5.2,636.93,22.72,18.7,3226,3.2771,0.1221,654.38,53.72,0.886,0.2612,0.0783,1929.67,49.91,0.107,0.8156,0.4458,278.13,196.12,0.035
2023-07-01 10:00:00,2107.96,15.54,448.09,3.7,656.42,57.67,18.21,3175,2.611,0.3423,937.98,153.39,0.386,0.2267,0.0151,1959.16,9.97,0.708,6.1273,1.4913,-2089.16,668.28,0.154
2023-07-01 11:00:00,2131.64,11.32,449.91,3.81,636.76,10.93,18.45,3202,1.0755,0.2877,1647.73,129.46,0.131,0.4751,0.0957,1829.1,60.92,0.21,1.173,0.272,109.01,122.36,0.167
2023-07-01 12:00:00,2109.72,11.95,451.68,3.05,614.82,38.11,18.87,3217,1.7596,0.3638,1314.93,164.32,0.202,0.2506,0.0196,1955.67,12.06,0.639,2.1624,1.2792,-361.9,577.81,0.03
2023-07-01 13:00:00,2135.88,22.6,453.46,5.65,588.49,19.5,19.24,3243,3.0884,0.2646,735.41,120.01,0.595,1.0577,0.0492,1513.42,29,0.833,2.7282,0.2201,-648.63,99.81,0.624
2023-07-01 14:00:00,2155.39,97.09,445.32,1.75,613.85,158.99,19.28,3238,20.8834,5.355,-7144.37,2384.68,0.141,0.5946,0.0145,1790.39,9.18,0.948,27.4149,9.0223,-11594.48,4017.8,0.091
2023-07-01 15:00:00,2118.32,20.44,438.47,5.19,573.92,31.83,19.4,3244,3.3298,0.2181,658.3,95.64,0.716,0.5935,0.0255,1777.7,14.64,0.854,5.0222,0.3652,-1628.16,160.15,0.671
2023-07-01 16:00:00,2105.77,10.69,431.27,1.97,589.33,15.16,19.37,3243,1.3778,0.5456,1511.56,235.28,0.064,0.485,0.0532,1819.92,31.36,0.473,-0.0427,0.7999,607.73,344.99,0
2023-07-01 17:00:00,2079.47,16.34,426.58,2.31,607.78,20.57,19.19,3231,6.0317,0.3862,-493.53,164.73,0.725,0.1482,0.0811,1989.4,49.34,0.035,-0.9206,0.9218,1000.5,393.23,0.011
2023-07-01 18:00:00,2062.48,6.3,423.6,0.9,614.77,26.28,19.07,3238,3.9787,0.6035,377.08,255.66,0.32,0.1874,0.0156,1947.26,9.57,0.611,4.3819,3.0166,-1241.42,1277.83,0.022
2023-07-01 19:00:00,2072.02,5.7,424.25,0.84,664.36,15.36,19.13,3240,5.5809,0.4008,-295.64,170.03,0.677,0.2307,0.0302,1918.74,20.08,0.387,5.3969,1.8153,-1625.25,770.13,0.087
2023-07-01 20:00:00,2071.38,14.31,424.18,1.68,657.62,36.28,19.24,3246,6.7877,0.5327,-807.8,225.98,0.637,0.2581,0.031,1901.64,20.42,0.428,17.5829,1.2972,-6800.6,550.23,0.665
2023-07-01 21:00:00,2069.25,7.95,423.8,1.19,682.77,16.81,19.05,3234,5.9208,0.3167,-439.99,134.2,0.791,0.4025,0.0258,1794.43,17.64,0.724,11.5537,0.8357,-4213.73,354.18,0.674
2023-07-01 22:00:00,2076.93,10.96,424.46,1.53,699.75,24.51,19.07,3223,6.0611,0.3994,-495.75,169.53,0.713,0.3886,0.023,1804.98,16.08,0.756,12.3391,1.0675,-4537.65,453.11,0.591
2023-07-01 23:00:00,2068.62,7.01,423.87,1.15,667.84,19.33,18.82,2586,4.6453,0.4629,99.61,196.22,0.576,0.2502,0.0305,1901.49,20.4,0.476,4.2443,1.8965,-1131.19,803.85,0.063
2023-07-02 00:00:00,2070.78,9.84,425.86,1.94,649.89,18.08,18.6,3202,4.8506,0.1529,5.09,65.13,0.916,0.4995,0.0225,1746.19,14.61,0.842,8.4062,0.4168,-2930,177.51,0.815
2023-07-02 01:00:00,2084.33,7.57,429.85,1.86,639.15,44,18.81,3205,2.8734,0.2982,849.22,128.19,0.5,0.0244,0.0177,2068.75,11.32,0.02,-10.5845,2.1921,5188.86,942.26,0.201
