station,valid,tmpc,dwpc,drct,sped,mslp
JRB,2023-07-20 00:56,24.44,20.56,0.00,0.00,1016.40
JRB,2023-07-20 01:56,23.89,20.56,0.00,0.00,1017.00
JRB,2023-07-20 02:56,23.89,21.11,0.00,0.00,1016.90
JRB,2023-07-20 03:56,23.33,21.11,250.00,3.45,1016.50
JRB,2023-07-20 04:56,23.33,21.11,250.00,3.45,1016.40
JRB,2023-07-20 05:56,23.33,21.11,260.00,3.45,1016.20
JRB,2023-07-20 06:56,23.33,21.11,0.00,0.00,1016.00
JRB,2023-07-20 07:56,23.33,21.11,270.00,3.45,1015.80
JRB,2023-07-20 08:56,23.33,21.11,0.00,0.00,1015.70
JRB,2023-07-20 09:56,22.78,20.56,0.00,0.00,1015.90
JRB,2023-07-20 10:56,23.33,21.11,0.00,0.00,1016.00
JRB,2023-07-20 11:56,23.89,20.56,M,3.45,1016.20
JRB,2023-07-20 12:56,25.00,19.44,50.00,9.20,1016.40
JRB,2023-07-20 13:56,26.67,18.33,70.00,8.05,1016.20
JRB,2023-07-20 14:56,28.33,16.67,40.00,8.05,1016.10
JRB,2023-07-20 15:56,30.00,16.67,60.00,5.75,1015.90
JRB,2023-07-20 16:56,30.00,17.78,230.00,8.05,1015.20
JRB,2023-07-20 17:56,29.44,17.78,220.00,9.20,1015.30
JRB,2023-07-20 18:56,30.00,16.67,200.00,8.05,1014.90
JRB,2023-07-20 19:56,28.89,15.56,180.00,8.05,1014.50
JRB,2023-07-20 20:56,30.00,16.11,170.00,6.90,1014.20
JRB,2023-07-20 21:56,28.33,15.00,130.00,6.90,1013.10
JRB,2023-07-20 22:56,27.78,16.11,160.00,6.90,1013.20
JRB,2023-07-20 23:56,26.11,17.22,180.00,9.20,1013.00
JRB,2023-07-21 00:56,26.11,17.78,180.00,6.90,1012.80
JRB,2023-07-21 01:56,25.00,18.89,210.00,5.75,1012.70
JRB,2023-07-21 02:56,25.00,19.44,210.00,4.60,1012.30
JRB,2023-07-21 03:56,24.44,18.89,190.00,4.60,1012.10
JRB,2023-07-21 04:56,23.89,20.00,190.00,4.60,1011.30
JRB,2023-07-21 05:47,24.00,21.00,200.00,5.75,M
JRB,2023-07-21 05:56,23.89,20.56,230.00,6.90,1011.10
JRB,2023-07-21 06:56,23.89,21.11,220.00,4.60,1010.30
JRB,2023-07-21 07:40,24.00,21.00,0.00,0.00,M
