# Data from Commane Group at Columbia University/Lamont-Doherty Earth Observatory (atmoscomp.ldeo.columbia.edu)
# This is 1-hour merged data taken at LDEO from 2023-07-01 to 2023-07-31 (see ReadMe for more details)
# File: LDEO_1h_merge_20230701_to_20230731_v20240628.txt
# Data processed on 2024/06/28
# If you are using this data for a publication or for more information, please contact Roisin Commane (r.commane@columbia.edu)
#                  
UTC_time,CH4_ppb,CH4_sd,CO2_ppm,CO2_sd,H2O_ppth,n,ch4.co2.Slope,ch4.co2.Slope.95.Uncertainty,ch4.co2.Intercept,ch4.co2.Intercept.95.Uncertainty,ch4.co2.r2
2023-07-01 01:00:00,2019.67,1.97,417.45,0.92,15.6,3023,0.1841,0.2217,1942.84,92.54,0.007
2023-07-01 02:00:00,2035.46,11.5,423.27,2.81,15.59,3035,3.9773,0.1023,351.99,43.3,0.942
2023-07-01 03:00:00,2080.32,11.48,433.29,2.81,15.92,3020,3.7193,0.1745,468.77,75.61,0.831
2023-07-01 04:00:00,2092.42,16.86,433.73,3.16,16.32,3020,5.083,0.1709,-112.21,74.14,0.905
2023-07-01 05:00:00,2062.86,4.93,430.41,2.41,15.82,3025,1.821,0.0974,1279.1,41.9,0.791
2023-07-01 06:00:00,2074.27,5.86,434.71,1.69,15.77,3020,0.8213,0.3508,1717.22,152.48,0.056
2023-07-01 07:00:00,2121.07,16.12,433.95,2.92,15.48,3020,-4.9128,0.2598,4252.95,112.75,0.794
2023-07-01 08:00:00,2152.64,7.53,430.78,1.3,15.13,3033,3.1381,0.5062,800.83,218.07,0.293
2023-07-01 09:00:00,2131.03,10.68,431.28,2.38,15.05,3013,2.5553,0.3823,1029,164.9,0.325
2023-07-01 10:00:00,2110.48,10.57,428.66,2.04,15.51,3022,4.615,0.245,132.24,105.03,0.793
2023-07-01 11:00:00,2097.12,17.23,424.4,2.85,16.8,2630,5.8112,0.1874,-369.13,79.52,0.923
2023-07-01 12:00:00,2066.6,3.03,419.27,1.1,18.69,3031,1.0963,0.2617,1606.94,109.74,0.159
2023-07-01 13:00:00,2043.4,8.58,414.06,1.82,18.62,3015,2.4025,0.4205,1048.6,174.11,0.261
2023-07-01 14:00:00,2121.06,16.47,420.46,2.34,18.45,3021,3.6582,0.6236,582.9,262.2,0.271
2023-07-01 15:00:00,2108.94,13.97,424.69,4.89,17.96,3025,1.4413,0.2561,1496.84,108.76,0.255
2023-07-01 16:00:00,2095.58,28.53,424.47,3.92,16.92,3039,7.0209,0.2012,-884.63,85.42,0.929
2023-07-01 17:00:00,2052.81,11.56,416.55,2.67,17.09,3017,3.5887,0.2527,557.94,105.27,0.685
2023-07-01 18:00:00,2021.75,9,410.49,1.68,16.72,3027,3.8643,0.384,435.49,157.63,0.522
2023-07-01 19:00:00,2021.33,5.12,409.74,1.15,17.27,3026,2.7175,0.3671,907.87,150.44,0.372
2023-07-01 20:00:00,2017.24,3.62,409.26,1.23,16.75,3033,2.0508,0.2187,1177.94,89.52,0.487
