station,valid,tmpc,dwpc,drct,sped,mslp
NYC,2023-07-20 00:51,24.44,20.56,0.00,0.00,1016.20
NYC,2023-07-20 01:51,23.89,20.56,0.00,0.00,1016.60
NYC,2023-07-20 02:51,23.33,20.56,0.00,0.00,1016.60
NYC,2023-07-20 03:51,23.33,20.56,0.00,0.00,1016.10
NYC,2023-07-20 04:51,23.33,20.56,0.00,0.00,1016.10
NYC,2023-07-20 05:51,22.78,20.56,270.00,3.45,1016.00
NYC,2023-07-20 06:51,22.78,21.11,M,4.60,1015.90
NYC,2023-07-20 07:51,22.78,21.11,0.00,0.00,1015.60
NYC,2023-07-20 08:51,22.78,20.56,0.00,0.00,1015.40
NYC,2023-07-20 09:24,22.22,20.56,0.00,0.00,M
NYC,2023-07-20 09:51,22.78,20.56,30.00,3.45,1015.50
NYC,2023-07-20 10:02,22.22,20.56,0.00,0.00,M
NYC,2023-07-20 10:34,22.22,21.11,360.00,3.45,M
NYC,2023-07-20 10:51,22.78,21.11,M,3.45,1015.80
NYC,2023-07-20 11:25,23.33,21.11,0.00,0.00,M
NYC,2023-07-20 11:51,23.89,20.56,M,3.45,1015.90
NYC,2023-07-20 12:51,25.00,18.89,M,5.75,1016.20
NYC,2023-07-20 13:51,26.11,16.11,60.00,5.75,1016.00
NYC,2023-07-20 14:51,26.67,15.56,M,3.45,1015.80
NYC,2023-07-20 15:51,28.89,15.00,M,5.75,1015.70
NYC,2023-07-20 16:51,29.44,13.89,50.00,4.60,1015.10
NYC,2023-07-20 17:51,30.00,15.00,50.00,5.75,1014.50
NYC,2023-07-20 18:51,27.78,16.67,0.00,0.00,1014.40
NYC,2023-07-20 19:51,27.22,17.22,M,M,1014.00
NYC,2023-07-20 20:51,27.22,16.67,M,3.45,1013.80
NYC,2023-07-20 21:51,26.67,15.56,M,3.45,1012.90
NYC,2023-07-20 22:51,26.67,14.44,0.00,0.00,1012.70
NYC,2023-07-20 23:51,25.56,15.00,0.00,0.00,1012.60
NYC,2023-07-21 00:51,25.00,15.00,0.00,0.00,1012.50
NYC,2023-07-21 01:51,25.00,16.11,M,3.45,1012.30
NYC,2023-07-21 02:51,24.44,16.67,0.00,0.00,1012.00
NYC,2023-07-21 03:51,24.44,17.22,0.00,0.00,1011.50
NYC,2023-07-21 04:51,23.33,18.89,0.00,0.00,1011.00
NYC,2023-07-21 05:51,23.33,20.00,0.00,0.00,1010.70
NYC,2023-07-21 06:40,23.33,20.56,M,3.45,M
NYC,2023-07-21 06:51,23.33,20.56,M,3.45,1010.10
NYC,2023-07-21 07:51,23.89,20.56,0.00,0.00,1009.50
NYC,2023-07-21 08:23,23.33,20.56,M,3.45,M
NYC,2023-07-21 08:51,23.89,20.56,0.00,0.00,1009.20
NYC,2023-07-21 09:32,23.89,20.56,M,3.45,M
NYC,2023-07-21 09:51,23.89,21.11,0.00,0.00,1009.30
NYC,2023-07-21 10:07,23.33,21.67,0.00,0.00,M
NYC,2023-07-21 10:21,23.33,21.67,0.00,0.00,M
NYC,2023-07-21 10:34,23.33,21.67,0.00,0.00,M
NYC,2023-07-21 10:41,22.78,21.67,M,M,M
NYC,2023-07-21 10:51,22.78,21.67,0.00,0.00,1008.10
NYC,2023-07-21 11:51,22.78,21.67,M,M,1008.10
NYC,2023-07-21 12:14,22.78,21.67,M,3.45,M
NYC,2023-07-21 12:41,22.22,20.56,M,3.45,M
NYC,2023-07-21 12:49,22.00,20.00,M,4.60,M
NYC,2023-07-21 12:51,21.67,20.00,230.00,4.60,1008.30
NYC,2023-07-21 13:51,23.33,21.11,0.00,0.00,1007.60
NYC,2023-07-21 14:51,25.00,20.00,270.00,5.75,1007.60
NYC,2023-07-21 15:51,26.67,19.44,280.00,5.75,1007.70
NYC,2023-07-21 16:51,26.11,20.00,0.00,0.00,1007.50
NYC,2023-07-21 17:51,27.78,17.78,0.00,0.00,1006.80
NYC,2023-07-21 18:51,28.89,18.33,250.00,4.60,1006.20
NYC,2023-07-21 19:51,28.33,17.78,290.00,8.05,1006.10
NYC,2023-07-21 20:51,28.33,17.22,M,6.90,1005.90
NYC,2023-07-21 21:51,27.78,17.78,M,M,1005.80
NYC,2023-07-21 22:51,27.78,16.67,M,4.60,1005.80
NYC,2023-07-21 23:51,26.11,16.67,M,4.60,1006.30
NYC,2023-07-22 00:51,26.11,17.22,M,M,1006.80
NYC,2023-07-22 01:51,26.11,16.67,M,3.45,1007.00
NYC,2023-07-22 02:51,25.56,16.11,M,3.45,1007.30
NYC,2023-07-22 03:51,25.00,15.00,M,3.45,1007.50
NYC,2023-07-22 04:51,24.44,15.56,300.00,5.75,1007.60
NYC,2023-07-22 05:51,23.33,15.56,M,3.45,1007.70
NYC,2023-07-22 06:51,22.78,15.56,M,4.60,1007.50
NYC,2023-07-22 07:51,22.22,16.11,M,3.45,1007.50
NYC,2023-07-22 08:51,21.67,15.56,290.00,5.75,1007.70
NYC,2023-07-22 09:51,21.11,15.00,0.00,0.00,1008.00
NYC,2023-07-22 10:51,21.11,15.00,M,4.60,1008.40
NYC,2023-07-22 11:51,21.67,14.44,M,5.75,1009.00
NYC,2023-07-22 12:51,22.78,14.44,M,4.60,1009.20
NYC,2023-07-22 13:51,23.33,13.89,M,M,1009.30
NYC,2023-07-22 14:51,23.89,15.00,M,4.60,1009.40
NYC,2023-07-22 15:51,26.67,15.56,0.00,0.00,1009.40
NYC,2023-07-22 16:51,27.78,13.89,M,4.60,1009.10
NYC,2023-07-22 17:51,28.33,13.89,M,M,1008.80
NYC,2023-07-22 18:51,27.78,12.78,M,M,1009.00
NYC,2023-07-22 19:51,27.78,12.22,M,5.75,1008.90
NYC,2023-07-22 20:51,27.78,11.67,300.00,8.05,1009.30
NYC,2023-07-22 21:51,27.78,11.11,M,M,1009.00
NYC,2023-07-22 22:51,27.78,10.56,M,3.45,1009.10
NYC,2023-07-22 23:51,27.78,10.00,0.00,0.00,1009.60
NYC,2023-07-23 00:51,25.00,11.11,0.00,0.00,1009.90
NYC,2023-07-23 01:51,25.00,11.67,0.00,0.00,1010.40
NYC,2023-07-23 02:51,25.00,12.78,0.00,0.00,1010.40
NYC,2023-07-23 03:51,23.89,13.89,0.00,0.00,1010.80
NYC,2023-07-23 04:51,23.89,13.33,300.00,3.45,1011.30
NYC,2023-07-23 05:51,22.22,14.44,0.00,0.00,1011.50
NYC,2023-07-23 06:51,22.22,15.56,300.00,4.60,1011.60
NYC,2023-07-23 07:51,21.11,15.56,0.00,0.00,1011.80
NYC,2023-07-23 08:51,20.56,16.11,0.00,0.00,1012.30
NYC,2023-07-23 09:51,21.11,16.67,0.00,0.00,1012.90
NYC,2023-07-23 10:51,21.67,16.67,0.00,0.00,1013.60
NYC,2023-07-23 11:51,22.78,15.56,0.00,0.00,1014.00
NYC,2023-07-23 12:51,24.44,15.00,0.00,0.00,1014.70
NYC,2023-07-23 13:51,25.00,14.44,M,3.45,1015.00
NYC,2023-07-23 14:51,26.67,12.78,0.00,0.00,1015.20
NYC,2023-07-23 15:51,28.33,13.33,0.00,0.00,1015.10
NYC,2023-07-23 16:51,30.00,13.33,M,5.75,1014.90
NYC,2023-07-23 17:51,29.44,13.89,0.00,0.00,1014.30
NYC,2023-07-23 18:51,28.89,15.56,0.00,0.00,1014.10
NYC,2023-07-23 19:51,28.33,16.67,M,3.45,1013.90
NYC,2023-07-23 20:51,28.33,15.56,0.00,0.00,1014.00
NYC,2023-07-23 21:51,27.22,16.11,0.00,0.00,1014.20
NYC,2023-07-23 22:51,26.67,15.56,M,M,1014.60
NYC,2023-07-23 23:51,26.67,15.00,M,3.45,1015.10
NYC,2023-07-24 00:51,25.56,16.67,M,3.45,1015.90
NYC,2023-07-24 01:51,25.56,17.22,M,4.60,1017.00
NYC,2023-07-24 02:51,25.56,15.00,M,M,1017.30
NYC,2023-07-24 03:51,25.00,14.44,M,3.45,1017.30
NYC,2023-07-24 04:51,25.00,15.00,0.00,0.00,1017.40
NYC,2023-07-24 05:51,24.44,14.44,230.00,8.05,1017.70
NYC,2023-07-24 06:51,24.44,15.56,M,4.60,1017.70
NYC,2023-07-24 07:51,23.89,16.11,M,5.75,1018.00
NYC,2023-07-24 08:51,23.89,16.11,M,6.90,1018.50
NYC,2023-07-24 09:51,23.89,15.56,0.00,0.00,1018.50
NYC,2023-07-24 10:51,23.89,16.67,0.00,0.00,1018.70
NYC,2023-07-24 11:51,24.44,16.11,220.00,4.60,1019.10
NYC,2023-07-24 12:51,25.00,17.22,0.00,0.00,1019.20
NYC,2023-07-24 13:51,25.56,17.78,0.00,0.00,1019.50
NYC,2023-07-24 14:51,25.56,17.22,M,5.75,1019.80
NYC,2023-07-24 15:51,27.22,17.22,M,5.75,1019.80
NYC,2023-07-24 16:51,28.89,17.22,230.00,5.75,1019.50
NYC,2023-07-24 17:51,29.44,13.89,240.00,8.05,1019.30
NYC,2023-07-24 18:51,29.44,17.78,0.00,0.00,1018.70
NYC,2023-07-24 19:51,28.33,18.33,0.00,0.00,1018.40
NYC,2023-07-24 20:51,27.78,17.22,0.00,0.00,1018.00
NYC,2023-07-24 21:51,27.22,18.89,M,3.45,1018.10
NYC,2023-07-24 22:51,26.11,17.78,M,M,1017.90
NYC,2023-07-24 23:51,25.56,18.89,M,3.45,1018.20
NYC,2023-07-25 00:51,25.00,20.00,0.00,0.00,1018.30
NYC,2023-07-25 01:51,25.00,20.56,M,M,1018.40
NYC,2023-07-25 02:51,25.00,20.56,0.00,0.00,1018.60
NYC,2023-07-25 03:51,24.44,19.44,0.00,0.00,1018.40
NYC,2023-07-25 04:51,24.44,17.22,220.00,8.05,1018.50
NYC,2023-07-25 05:51,24.44,16.67,M,6.90,1018.40
NYC,2023-07-25 06:51,23.89,16.67,M,4.60,1018.50
NYC,2023-07-25 07:51,23.89,17.78,210.00,3.45,1018.00
NYC,2023-07-25 08:51,23.89,18.33,M,3.45,1017.60
NYC,2023-07-25 09:51,23.33,18.33,M,M,1017.90
NYC,2023-07-25 10:51,23.89,18.89,M,3.45,1018.30
NYC,2023-07-25 11:51,23.89,18.33,280.00,3.45,1018.60
NYC,2023-07-25 12:51,26.11,17.78,0.00,0.00,1018.60
NYC,2023-07-25 13:51,26.67,18.89,M,3.45,1018.60
NYC,2023-07-25 14:51,27.78,18.89,0.00,0.00,1018.40
NYC,2023-07-25 15:51,28.33,19.44,M,M,1018.30
NYC,2023-07-25 16:51,28.89,18.89,0.00,0.00,1017.50
NYC,2023-07-25 17:51,29.44,20.56,M,6.90,1016.10
NYC,2023-07-25 18:51,26.67,20.00,200.00,5.75,1016.30
NYC,2023-07-25 19:44,23.33,20.00,270.00,10.35,M
NYC,2023-07-25 19:47,22.00,19.00,260.00,8.05,M
NYC,2023-07-25 19:51,21.67,19.44,270.00,11.50,1018.70
NYC,2023-07-25 19:57,21.67,19.44,M,6.90,M
NYC,2023-07-25 20:02,21.11,19.44,M,4.60,M
NYC,2023-07-25 20:07,21.11,19.44,M,M,M
NYC,2023-07-25 20:11,21.11,20.00,0.00,0.00,M
NYC,2023-07-25 20:23,20.56,19.44,M,M,M
NYC,2023-07-25 20:51,20.56,19.44,90.00,5.75,1018.10
NYC,2023-07-25 21:33,21.11,19.44,0.00,0.00,M
NYC,2023-07-25 21:43,21.11,20.00,0.00,0.00,M
NYC,2023-07-25 21:51,21.11,20.00,100.00,3.45,1018.10
NYC,2023-07-25 22:51,21.67,20.56,0.00,0.00,1018.00
NYC,2023-07-25 23:51,21.67,20.00,0.00,0.00,1017.90
NYC,2023-07-26 00:51,21.11,19.44,M,4.60,1018.00
NYC,2023-07-26 01:20,21.11,18.89,20.00,4.60,M
NYC,2023-07-26 01:44,20.56,18.89,0.00,0.00,M
NYC,2023-07-26 01:51,20.56,18.89,0.00,0.00,1018.30
NYC,2023-07-26 02:51,20.56,18.89,0.00,0.00,1018.50
NYC,2023-07-26 03:51,20.56,18.89,0.00,0.00,1018.30
NYC,2023-07-26 04:51,20.56,18.33,0.00,0.00,1018.50
NYC,2023-07-26 05:51,20.56,18.89,0.00,0.00,1018.20
NYC,2023-07-26 06:51,20.00,18.33,0.00,0.00,1017.90
NYC,2023-07-26 07:51,20.56,18.33,0.00,0.00,1017.90
NYC,2023-07-26 08:51,20.00,18.33,M,3.45,1018.60
NYC,2023-07-26 09:51,20.00,18.33,0.00,0.00,1019.00
NYC,2023-07-26 10:51,20.56,18.89,0.00,0.00,1019.20
NYC,2023-07-26 11:51,22.22,18.33,300.00,3.45,1019.80
NYC,2023-07-26 12:51,22.78,17.22,280.00,6.90,1020.40
NYC,2023-07-26 13:51,24.44,17.78,270.00,4.60,1020.20
NYC,2023-07-26 14:51,26.11,18.33,300.00,4.60,1019.70
NYC,2023-07-26 15:51,28.89,17.22,0.00,0.00,1019.50
NYC,2023-07-26 16:51,29.44,18.33,0.00,0.00,1018.90
NYC,2023-07-26 17:51,30.00,19.44,210.00,5.75,1018.10
NYC,2023-07-26 18:51,30.00,18.33,M,3.45,1018.00
NYC,2023-07-26 19:51,30.00,18.33,M,M,1017.80
NYC,2023-07-26 20:51,29.44,18.33,220.00,3.45,1017.20
NYC,2023-07-26 21:51,28.33,19.44,0.00,0.00,1016.80
NYC,2023-07-26 22:51,27.78,18.33,0.00,0.00,1016.80
NYC,2023-07-26 23:51,26.67,18.89,0.00,0.00,1017.40
NYC,2023-07-27 00:51,26.11,19.44,0.00,0.00,1017.40
NYC,2023-07-27 01:03,26.11,18.89,0.00,0.00,M
NYC,2023-07-27 01:51,26.11,18.33,M,3.45,1017.30
NYC,2023-07-27 02:51,25.56,16.67,M,4.60,1016.80
NYC,2023-07-27 03:51,25.00,16.67,0.00,0.00,1016.80
NYC,2023-07-27 04:51,24.44,17.78,M,M,1017.00
NYC,2023-07-27 05:51,24.44,17.78,M,3.45,1016.70
NYC,2023-07-27 06:51,23.89,20.56,230.00,8.05,1016.30
NYC,2023-07-27 07:51,23.89,21.11,210.00,5.75,1015.60
NYC,2023-07-27 08:51,23.89,20.56,M,4.60,1015.00
NYC,2023-07-27 09:51,25.00,21.67,M,3.45,1015.20
NYC,2023-07-27 10:18,24.44,21.67,M,3.45,M
NYC,2023-07-27 10:48,25.00,22.00,220.00,3.45,M
