# Data from Commane Group at Columbia University/Lamont-Doherty Earth Observatory (atmoscomp.ldeo.columbia.edu)
# This is 1-hour merged data taken at Rutgers from 2023-07-01 to 2023-07-31 (see ReadMe for more details)
# File: Rutgers_1h_merge_20230701_to_20230731_v20240304.txt
# Data processed on 2024/03/04
# If you are using this data for a publication or for more information, please contact Roisin Commane (r.commane@columbia.edu)
#                  
UTC_time,CH4_ppb,CH4_sd,CO2_ppm,CO2_sd,CO_ppb,CO_sd,H2O_ppth,n,ch4.co2.Slope,ch4.co2.Slope.95.Uncertainty,ch4.co2.Intercept,ch4.co2.Intercept.95.Uncertainty,ch4.co2.r2,ch4.co.Slope,ch4.co.Slope.95.Uncertainty,ch4.co.Intercept,ch4.co.Intercept.95.Uncertainty,ch4.co.r2,co.co2.Slope,co.co2.Slope.95.Uncertainty,co.co2.Intercept,co.co2.Intercept.95.Uncertainty,co.co2.r2
2023-07-01 01:00:00,2047.08,7.6,421.05,1.13,605.96,14.75,19.67,3571,-4.2788,0.5357,3848.64,225.56,0.407,0.4945,0.015,1747.4,9.09,0.921,-7.0947,1.1322,3593.17,476.7,0.297
2023-07-01 02:00:00,2038.4,0.87,425.82,1.8,591.64,2.65,19.66,3570,0.4102,0.0272,1863.73,11.57,0.711,0.1272,0.0317,1963.12,18.74,0.148,0.4563,0.1456,397.33,62,0.096
2023-07-01 03:00:00,2044.44,2.25,432.55,2.22,622.63,14.06,19.65,3566,0.7778,0.0676,1708,29.23,0.589,0.0802,0.0144,1994.49,8.98,0.251,4.9031,0.4155,-1498.23,179.74,0.601
2023-07-01 04:00:00,2057.08,6.9,441.65,4.38,664.1,26.48,19.65,3570,-0.0193,0.1635,2065.61,72.23,0,0.0046,0.0271,2054.05,17.99,0,5.8343,0.1626,-1912.59,71.8,0.933
2023-07-01 05:00:00,2066.44,2.05,447.39,1.38,693.83,7.55,19.67,3572,-0.0907,0.1546,2107.01,69.16,0.004,-0.0924,0.0265,2130.54,18.42,0.116,3.6821,0.4227,-953.48,189.13,0.45
2023-07-01 06:00:00,2075.33,8.01,447.96,1.41,690.6,5.12,19.67,3564,2.8178,0.5139,813.09,230.2,0.245,-0.6925,0.1458,2553.6,100.69,0.196,-0.2218,0.3774,789.97,169.06,0.004
2023-07-01 07:00:00,2092.05,23.42,455.17,6.05,681.83,3.04,19.4,3558,2.1616,0.3337,1108.15,151.89,0.312,-1.9184,0.7764,3400.09,529.37,0.062,-0.0618,0.0518,709.94,23.56,0.015
2023-07-01 08:00:00,2107.98,28.82,467.33,6.74,681.13,6.34,18.61,3574,4.1762,0.0948,156.3,44.32,0.954,-1.8011,0.434,3334.76,295.6,0.157,-0.2558,0.094,800.66,43.95,0.074
2023-07-01 09:00:00,2117.45,45.83,478.05,12.67,691.46,9.51,18.2,3578,3.4249,0.1211,480.2,57.91,0.896,-1.3432,0.481,3046.18,332.62,0.078,-0.0238,0.078,702.84,37.3,0.001
2023-07-01 10:00:00,2185.56,64.11,493.67,15.65,685.01,9.52,17.92,3575,3.7209,0.1782,348.65,88,0.825,-5.0275,0.4654,5629.45,318.81,0.558,-0.3084,0.0545,837.24,26.93,0.257
2023-07-01 11:00:00,2194.37,32.82,509,7.34,734.48,29.37,19.07,3572,1.9779,0.417,1187.59,212.26,0.196,-0.996,0.0526,2925.9,38.67,0.795,-0.9209,0.405,1203.21,206.15,0.053
2023-07-01 12:00:00,2130.27,11.24,473.07,9.29,726.23,15.54,22.24,3579,0.9881,0.0726,1662.85,34.35,0.667,0.1248,0.0741,2039.63,53.81,0.03,0.5157,0.1653,482.27,78.23,0.095
2023-07-01 13:00:00,2089.33,13.44,446.86,5.61,658.3,21.94,22.38,3575,1.9261,0.1481,1228.62,66.2,0.646,0.5072,0.0357,1755.45,23.51,0.686,3.8511,0.0714,-1062.61,31.89,0.969
2023-07-01 14:00:00,2057.18,4.2,433.53,2.19,583.48,20.06,19.71,3571,1.0814,0.164,1588.35,71.09,0.32,0.1629,0.0136,1962.15,7.96,0.606,7.7238,0.5087,-2765.07,220.54,0.714
2023-07-01 15:00:00,2039.99,10.02,421.83,4.09,516.63,21.17,19.72,3576,2.2619,0.0972,1085.84,40.99,0.854,0.4645,0.0095,1800.04,4.9,0.963,4.5443,0.2564,-1400.29,108.18,0.772
2023-07-01 16:00:00,2039.47,16.62,417.14,1.26,508,12.61,19.73,3560,-8.3953,1.056,5541.45,440.48,0.406,0.8708,0.1028,1597.11,52.24,0.437,-3.1254,0.9875,1811.73,411.92,0.098
2023-07-01 17:00:00,2102.23,38.32,414.77,1.2,536.98,7.23,19.75,3565,12.7101,3.0437,-3169.56,1262.45,0.159,-2.5299,0.4844,3460.75,260.13,0.228,-3.4935,0.5096,1986,211.37,0.337
2023-07-01 18:00:00,2045.98,3.64,412.9,0.92,536.96,4.89,19.77,3563,1.3689,0.3841,1480.78,158.57,0.121,0.401,0.0652,1830.68,35.01,0.29,1.1824,0.5362,48.73,221.42,0.05
2023-07-01 19:00:00,2033.89,2.89,413.32,0.8,531.55,6.59,19.78,3574,-1.6547,0.334,2717.82,138.05,0.21,0.1847,0.0413,1935.69,21.95,0.178,-0.8993,0.8524,903.27,352.31,0.012
2023-07-01 20:00:00,2031.44,1.41,413.96,0.71,519.3,7.01,19.8,3578,-0.2838,0.2041,2148.95,84.48,0.02,0.1635,0.0121,1946.54,6.29,0.663,-0.0679,1.0268,547.39,425.03,0
2023-07-01 21:00:00,2029.81,1.59,414.53,0.87,516.91,6.82,19.8,3570,-1.242,0.1392,2544.65,57.71,0.462,0.0413,0.0239,2008.49,12.34,0.031,-1.2263,0.8035,1025.25,333.09,0.025
2023-07-01 22:00:00,2022.41,1.62,416.54,0.67,487.27,11.12,19.8,3565,-1.7656,0.1715,2757.85,71.43,0.534,0.1363,0.0055,1956.01,2.66,0.871,-11.1474,1.2709,5130.58,529.37,0.454
2023-07-01 23:00:00,2021.43,0.94,418.56,0.74,474.55,5.58,18.06,3572,1.0139,0.0778,1597.07,32.58,0.647,0.1227,0.012,1963.2,5.67,0.532,6.3698,0.4106,-2191.6,171.84,0.722
2023-07-02 00:00:00,2024.14,0.94,421.81,1.36,494.8,9.78,16.41,3568,0.566,0.041,1785.38,17.29,0.673,0.0722,0.0066,1988.43,3.26,0.565,6.4689,0.3253,-2233.84,137.22,0.81
2023-07-02 01:00:00,2031.07,5.07,426.18,1.79,518.9,8.87,16.79,3575,1.9126,0.2169,1215.94,92.43,0.456,0.384,0.0439,1831.79,22.78,0.452,4.314,0.2537,-1319.64,108.13,0.757
2023-07-02 02:00:00,2054.84,5.13,429.11,1.48,534.09,9.51,17.38,3577,2.4075,0.2591,1021.74,111.18,0.483,0.4501,0.0309,1814.46,16.48,0.697,4.5444,0.4726,-1415.92,202.78,0.5
2023-07-02 03:00:00,2060.3,5.4,431.58,1.29,561.01,5.31,19.03,3576,2.8212,0.3219,842.73,138.92,0.454,0.6031,0.0851,1721.97,47.76,0.352,2.3888,0.3487,-469.95,150.51,0.336
2023-07-02 04:00:00,2088.11,5.94,434.95,1.29,570.65,3.43,19.82,3568,2.6827,0.3911,921.27,170.09,0.337,0.1585,0.1793,1997.64,102.33,0.008,1.1789,0.2487,57.9,108.15,0.195
2023-07-02 05:00:00,2114.75,8.38,436.81,1.53,565.57,4.58,19.86,3568,2.4008,0.5112,1066.05,223.32,0.192,-0.6927,0.1761,2506.54,99.63,0.143,0.1646,0.3103,493.68,135.52,0.003
2023-07-02 06:00:00,2125.11,10.96,439.72,1.39,553.98,6.66,19.88,3572,-3.0172,0.7569,3451.85,332.82,0.147,1.5133,0.0669,1286.77,37.07,0.847,-1.7431,0.4641,1320.48,204.07,0.132
2023-07-02 07:00:00,2102.83,2.97,444.28,2.43,536.49,4.63,19.89,3565,-0.2707,0.1236,2223.07,54.93,0.049,0.4856,0.0434,1842.32,23.31,0.574,-0.8981,0.1745,935.48,77.53,0.222
2023-07-02 08:00:00,2083.33,7.58,446.39,1.6,486.45,20.46,19.92,3567,3.2768,0.3568,620.59,159.27,0.477,0.3673,0.0052,1904.67,2.54,0.982,8.5987,0.9858,-3351.89,440.07,0.451
2023-07-02 09:00:00,2063.92,9.19,443.68,1.57,444.46,8.29,19.93,3581,3.3312,0.5004,585.93,222.02,0.324,0.9816,0.0533,1627.63,23.71,0.785,2.8764,0.4609,-831.76,204.49,0.296
2023-07-02 10:00:00,2043.82,4.99,441.58,1.55,412.51,9.65,19.93,3571,1.9169,0.2692,1197.34,118.88,0.354,0.4474,0.027,1859.26,11.13,0.748,3.6635,0.5238,-1205.23,231.29,0.346
2023-07-02 11:00:00,2038.66,4.18,442.45,1.3,406.23,4.78,19.94,3582,-0.3918,0.331,2212.01,146.44,0.015,-0.3148,0.0848,2166.54,34.45,0.13,0.3738,0.3794,240.83,167.87,0.01
2023-07-02 12:00:00,2041.39,3.76,440.89,2.44,409.93,4.83,19.96,3573,0.4431,0.1538,1846.05,67.81,0.082,-0.2718,0.076,2152.83,31.14,0.122,-1.5948,0.1221,1113.08,53.84,0.648
2023-07-02 13:00:00,2059.06,13.64,433.62,3.13,430.69,5.75,19.96,3574,0.2346,0.4524,1957.33,196.19,0.003,-0.3993,0.243,2231.02,104.65,0.028,-1.0381,0.1577,880.82,68.38,0.319
2023-07-02 14:00:00,2081.76,17.18,429.5,0.66,426.83,3.22,19.97,3578,-6.1322,2.6296,4715.53,1129.41,0.055,-0.0578,0.5553,2106.41,237.02,0,-1.0538,0.4944,879.44,212.36,0.047
2023-07-02 15:00:00,2108.79,29.69,426.38,2.88,400.24,22.77,19.98,3565,8.9828,0.5225,-1721.25,222.77,0.762,1.2459,0.0401,1610.12,16.08,0.913,7.435,0.2751,-2769.88,117.29,0.888
2023-07-02 16:00:00,2064.53,4.12,422.27,0.84,363.71,12.28,20,3569,-1.5585,0.481,2722.64,203.13,0.102,0.1762,0.0297,2000.44,10.81,0.275,5.3744,1.4046,-1905.71,593.14,0.137
2023-07-02 17:00:00,2067.68,4.14,421.56,1.03,342.69,4.53,20.01,3572,-0.1679,0.4178,2138.46,176.11,0.002,0.374,0.0868,1939.53,29.75,0.167,0.8099,0.4492,1.25,189.35,0.034
2023-07-02 18:00:00,2093.49,14.25,423.04,1.21,351.32,4.92,20.02,3582,4.3867,1.1313,237.78,478.59,0.14,1.2527,0.2713,1653.4,95.31,0.187,0.5136,0.418,134.04,176.81,0.016
2023-07-02 19:00:00,2107.77,12.61,423.72,0.94,326.32,11.15,20.04,3570,-0.5323,1.3879,2333.33,588.08,0.002,0.9609,0.062,1794.2,20.24,0.722,2.8098,1.1929,-864.25,505.47,0.057
2023-07-02 20:00:00,2096.03,6.77,422.66,0.93,318.91,4.53,20.05,3585,-1.5453,0.7384,2749.17,312.1,0.045,0.2661,0.1529,2011.15,48.76,0.032,-0.3863,0.5039,482.2,213,0.006
2023-07-02 21:00:00,2097.93,17.59,423.98,0.84,298.5,12.38,20.07,3582,9.2735,1.9573,-1833.86,829.85,0.195,1.1642,0.0846,1750.42,25.27,0.672,7.5087,1.3229,-2885.03,560.9,0.258
2023-07-02 22:00:00,2075.41,7.33,423.84,0.94,269.05,8.47,20.08,3573,1.1157,0.8028,1602.54,340.24,0.02,0.4075,0.0794,1965.77,21.36,0.222,4.904,0.7865,-1809.46,333.33,0.296
2023-07-02 23:00:00,2062.89,11.04,420.69,1.03,215.22,17.25,20.09,3574,4.8642,0.9951,16.56,418.64,0.205,0.0944,0.0658,2042.58,14.2,0.022,14.7989,0.8222,-6010.53,345.89,0.778
2023-07-03 00:00:00,2061.34,26.62,422.81,1.98,213.18,8.62,20.1,3573,2.9457,1.3612,815.85,575.54,0.048,-2.6588,0.1635,2628.14,34.88,0.741,0.3084,0.4505,82.77,190.48,0.005
2023-07-03 01:00:00,2037.71,9.89,425.03,2.11,251.37,12.03,20.11,3575,3.6642,0.3035,480.31,129.01,0.611,0.7717,0.0295,1843.74,7.42,0.881,4.7691,0.3243,-1775.65,137.84,0.7
2023-07-03 02:00:00,2058.9,11.58,431.45,5.2,257.35,26.62,20.1,3571,1.6408,0.1566,1350.97,67.56,0.543,0.3385,0.0284,1971.79,7.34,0.606,3.8871,0.3469,-1419.76,149.66,0.576
2023-07-03 03:00:00,2107.04,13.97,439.79,2.11,267.45,11.17,20.11,3566,0.4562,0.6881,1906.4,302.62,0.005,-0.5604,0.1162,2256.93,31.1,0.201,4.06,0.3552,-1518.07,156.22,0.585
2023-07-03 04:00:00,2068.1,45.52,437.26,5.29,217.69,53.75,20.11,3566,7.8686,0.3611,-1372.47,157.92,0.837,0.817,0.0232,1890.26,5.2,0.931,8.9787,0.4934,-3708.29,215.74,0.782
2023-07-03 05:00:00,2008.6,8.78,430.06,1.8,136.46,2.94,20.1,3566,3.6375,0.3399,444.26,146.18,0.553,1.664,0.2577,1781.53,35.17,0.311,1.01,0.1341,-297.91,57.66,0.38
2023-07-03 06:00:00,2028.06,17.98,439.46,4.34,139.57,4.76,20.11,3570,3.1617,0.2775,638.62,121.98,0.584,-1.0007,0.3788,2167.73,52.9,0.07,-0.684,0.0889,440.18,39.06,0.39
2023-07-03 07:00:00,2050.76,14.45,455.65,5.44,154.01,6.45,20.12,3576,2.208,0.1531,1044.67,69.76,0.692,0.8628,0.2148,1917.88,33.11,0.148,0.8623,0.0845,-238.91,38.51,0.529
2023-07-03 08:00:00,2064.04,9.62,459.29,1.82,170.7,4.7,20.13,3568,2.2618,0.4968,1025.19,228.2,0.183,0.6813,0.2004,1947.74,34.21,0.111,-0.1057,0.2686,219.25,123.38,0.002
2023-07-03 09:00:00,2071.42,15.57,463.9,5.63,184.68,11.42,20.14,3571,1.6636,0.2297,1299.67,106.57,0.362,0.451,0.1336,1988.14,24.73,0.11,1.7037,0.1147,-605.67,53.23,0.704
2023-07-03 10:00:00,2116.15,22.41,483.52,4.2,205.48,9.33,20.14,3565,3.311,0.4352,515.24,210.43,0.385,-0.8351,0.2339,2287.75,48.11,0.121,-0.022,0.2311,216.13,111.76,0
2023-07-03 11:00:00,2107.25,20,478.72,7.99,223.34,14.67,20.15,3564,2.0844,0.1441,1109.42,69,0.693,0.7611,0.1176,1937.25,26.33,0.311,1.3892,0.1247,-441.67,59.71,0.573
2023-07-03 12:00:00,2070.62,12.31,463.75,3.02,187.08,6.4,20.15,3571,2.576,0.3287,876,152.46,0.399,1.0168,0.1695,1880.39,31.73,0.28,0.8602,0.2017,-211.82,93.53,0.164
2023-07-03 13:00:00,2056.54,6.43,449.34,4.53,170.77,8.92,20.15,3583,0.8838,0.1156,1659.43,51.95,0.387,0.4953,0.0545,1971.95,9.32,0.471,1.6097,0.1179,-552.52,52.97,0.668
2023-07-03 14:00:00,2027.68,5.24,437.33,1.7,148.7,3.96,20.16,3576,1.7359,0.2641,1268.53,115.48,0.318,0.7919,0.11,1909.93,16.36,0.359,1.5158,0.1836,-514.2,80.31,0.424
2023-07-03 15:00:00,2016.93,4,431.22,2.02,141.62,4.37,20.16,3570,-0.8547,0.1849,2385.5,79.73,0.188,0.5752,0.0739,1935.48,10.47,0.396,-0.1617,0.2237,211.33,96.46,0.006
2023-07-03 16:00:00,2017.71,3.87,426.06,1.66,146.52,3.34,20.19,3565,-0.0362,0.2416,2033.14,102.92,0,0.5171,0.1075,1941.94,15.76,0.2,0.0101,0.2089,142.2,88.99,0
2023-07-03 17:00:00,2019.76,4.31,424.98,1.53,147.38,3.46,20.19,3579,-0.2804,0.2909,2138.91,123.62,0.01,0.6709,0.1091,1920.88,16.08,0.29,0.785,0.2201,-186.24,93.53,0.121
2023-07-03 18:00:00,2037.7,13.23,429.11,2.25,173.24,15.27,20.21,3568,4.6529,0.3721,41.12,159.67,0.628,0.8146,0.0306,1896.57,5.33,0.884,5.8773,0.3506,-2348.75,150.44,0.752
2023-07-03 19:00:00,2081.81,16.38,430.82,1.12,200.43,4.25,20.23,3575,-1.4196,1.5175,2693.42,653.79,0.009,2.3178,0.3202,1617.27,64.19,0.361,0.4137,0.3931,22.18,169.38,0.012
2023-07-03 20:00:00,2118.87,23.12,431.43,1.05,217.09,5.42,20.24,3583,-8.1509,2.1207,5635.39,914.92,0.138,0.704,0.4369,1966.04,94.87,0.027,1.9227,0.4972,-612.44,214.5,0.139
2023-07-03 21:00:00,2066.19,14.1,431.46,1.23,200.64,6.69,20.26,3579,8.6957,0.7707,-1685.69,332.52,0.579,0.7588,0.2044,1913.94,41.03,0.13,2.1472,0.5174,-725.77,223.25,0.157
2023-07-03 22:00:00,2092.35,9.62,432.81,2.23,190.5,7.01,20.27,3572,3.1549,0.3067,726.85,132.76,0.533,1.0451,0.0925,1893.25,17.63,0.58,2.925,0.1207,-1075.47,52.25,0.864
2023-07-03 23:00:00,2072.9,13.44,427.76,1.55,174.19,7.9,20.28,3573,7.1518,0.5139,-986.36,219.84,0.677,1.445,0.0935,1821.2,16.3,0.721,4.2122,0.3004,-1627.62,128.5,0.68
2023-07-04 00:00:00,2057.29,5.96,428.64,2.49,164.63,3.05,20.27,3571,0.6254,0.2402,1789.23,102.98,0.068,1.023,0.1725,1888.87,28.41,0.275,-0.1583,0.1266,232.48,54.26,0.017
2023-07-04 01:00:00,2056.72,8.87,433.93,1.32,166.53,2.63,20.27,3573,2.53,0.6438,958.87,279.34,0.143,1.2479,0.325,1848.91,54.13,0.137,0.4189,0.2016,-15.26,87.49,0.044
2023-07-04 02:00:00,2033.07,10.6,434.7,1.37,162.78,4.54,20.26,3579,5.6885,0.5449,-439.73,236.86,0.541,1.319,0.2,1818.36,32.57,0.32,1.1912,0.3217,-355.05,139.83,0.129
2023-07-04 03:00:00,2028.7,12.15,439.31,5.41,173.45,7.12,20.27,3574,1.3102,0.1897,1453.13,83.32,0.34,0.921,0.1494,1868.96,25.94,0.291,0.7705,0.1109,-165.05,48.71,0.343
2023-07-04 04:00:00,2055.25,20.04,459.21,10,186.8,10.4,20.27,3580,1.8957,0.0678,1184.74,31.14,0.894,1.1571,0.1603,1839.1,29.98,0.36,0.4726,0.0963,-30.22,44.23,0.206
2023-07-04 05:00:00,2049.28,8.06,459.68,3.3,177.57,3.71,20.27,3574,1.4687,0.2026,1374.14,93.11,0.362,0.2392,0.2246,2006.8,39.89,0.012,0.2008,0.1148,85.25,52.77,0.032
2023-07-04 06:00:00,2052.98,10.96,447.27,5.89,161.79,5.73,20.28,3576,1.5122,0.1128,1376.62,50.46,0.66,1.3268,0.1433,1838.31,23.19,0.481,0.8774,0.0437,-230.65,19.54,0.813
2023-07-04 07:00:00,2017.33,5.34,435.14,2.5,146.35,3.59,20.29,3578,1.6166,0.1455,1313.87,63.32,0.571,0.3936,0.149,1959.73,21.81,0.07,0.8765,0.1186,-235.03,51.59,0.371
2023-07-04 08:00:00,2017.69,5.32,438.4,1.25,141.42,2.41,20.29,3577,3.1457,0.2972,638.61,130.27,0.548,0.8969,0.2097,1890.85,29.66,0.165,0.4626,0.1943,-61.39,85.16,0.058
2023-07-04 09:00:00,2031.61,17.7,441.04,2.3,140.46,1.8,20.3,3577,5.1483,0.5947,-239.04,262.28,0.447,0.9069,1.0173,1904.23,142.9,0.009,0.1189,0.0804,88.03,35.48,0.023
2023-07-04 10:00:00,2043.24,7.24,441.97,1.72,144.09,2.45,20.31,3568,2.7256,0.3349,838.61,148.02,0.417,-0.4795,0.3035,2112.33,43.74,0.026,-0.0523,0.1481,167.22,65.47,0.001
2023-07-04 11:00:00,2056.03,7.82,447.06,2.95,147.61,3.07,20.31,3577,0.7385,0.2644,1725.88,118.21,0.078,-0.0629,0.2645,2065.31,39.06,0.001,0.6479,0.0846,-142.04,37.83,0.388
