station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2023-08-10 00:00:00,9,1004.0,20.0,27.0,15.0,0.0,0,359.0,0.0
KOKX,2023-08-10 00:00:00,4,1000.0,55.0,27.1,15.0,275.0,11,95.0,0.0
KOKX,2023-08-10 00:00:00,6,991.0,M,M,M,285.0,9,98.0,0.0
KOKX,2023-08-10 00:00:00,5,980.0,234.0,25.8,12.8,M,M,101.0,0.0
KOKX,2023-08-10 00:00:00,6,973.0,M,M,M,280.0,15,100.0,0.0
KOKX,2023-08-10 00:00:00,6,972.1,305.0,M,M,280.0,15,100.0,0.0
KOKX,2023-08-10 00:00:00,6,940.0,M,M,M,280.0,18,100.0,0.0
KOKX,2023-08-10 00:00:00,6,938.7,610.0,M,M,275.0,17,100.0,0.0
KOKX,2023-08-10 00:00:00,4,925.0,738.0,21.2,10.2,280.0,19,99.0,0.0
KOKX,2023-08-10 00:00:00,6,908.0,M,M,M,285.0,20,100.0,0.0
KOKX,2023-08-10 00:00:00,6,906.4,914.0,M,M,285.0,20,100.0,0.0
KOKX,2023-08-10 00:00:00,6,874.7,1219.0,M,M,290.0,22,102.0,1.0
KOKX,2023-08-10 00:00:00,6,868.0,M,M,M,295.0,22,103.0,1.0
KOKX,2023-08-10 00:00:00,4,850.0,1461.0,14.4,7.4,295.0,21,105.0,1.0
KOKX,2023-08-10 00:00:00,5,818.0,1784.0,11.6,6.6,M,M,107.0,1.0
KOKX,2023-08-10 00:00:00,6,813.7,1829.0,M,M,300.0,21,107.0,1.0
KOKX,2023-08-10 00:00:00,6,788.0,M,M,M,320.0,22,111.0,2.0
KOKX,2023-08-10 00:00:00,6,784.5,2134.0,M,M,320.0,22,111.0,2.0
KOKX,2023-08-10 00:00:00,6,761.0,M,M,M,305.0,17,114.0,2.0
KOKX,2023-08-10 00:00:00,6,756.3,2438.0,M,M,305.0,17,114.0,2.0
KOKX,2023-08-10 00:00:00,5,756.0,2439.0,8.6,-7.4,M,M,114.0,2.0
KOKX,2023-08-10 00:00:00,6,728.8,2743.0,M,M,300.0,22,115.0,2.0
KOKX,2023-08-10 00:00:00,6,712.0,M,M,M,300.0,26,115.0,3.0
KOKX,2023-08-10 00:00:00,4,700.0,3070.0,3.8,-6.2,300.0,26,115.0,3.0
KOKX,2023-08-10 00:00:00,5,692.0,3163.0,3.4,-4.6,M,M,116.0,3.0
KOKX,2023-08-10 00:00:00,5,681.0,3293.0,2.6,-7.4,M,M,116.0,3.0
KOKX,2023-08-10 00:00:00,6,676.0,3353.0,M,M,305.0,29,116.0,3.0
KOKX,2023-08-10 00:00:00,5,665.0,3485.0,1.6,-8.4,M,M,117.0,3.0
KOKX,2023-08-10 00:00:00,5,654.0,3619.0,2.0,-12.0,M,M,117.0,4.0
KOKX,2023-08-10 00:00:00,6,653.0,M,M,M,300.0,32,117.0,4.0
KOKX,2023-08-10 00:00:00,6,650.9,3658.0,M,M,300.0,32,117.0,4.0
KOKX,2023-08-10 00:00:00,5,620.0,4048.0,0.2,-23.8,M,M,118.0,4.0
KOKX,2023-08-10 00:00:00,6,619.0,M,M,M,315.0,25,118.0,4.0
KOKX,2023-08-10 00:00:00,5,615.0,4113.0,0.2,-24.8,M,M,118.0,4.0
KOKX,2023-08-10 00:00:00,5,609.0,4192.0,0.0,-21.0,M,M,119.0,4.0
KOKX,2023-08-10 00:00:00,6,608.0,M,M,M,310.0,20,119.0,4.0
KOKX,2023-08-10 00:00:00,6,603.4,4267.0,M,M,310.0,19,119.0,5.0
KOKX,2023-08-10 00:00:00,5,599.0,4324.0,-0.7,-26.7,M,M,119.0,5.0
KOKX,2023-08-10 00:00:00,6,566.0,M,M,M,300.0,27,119.0,5.0
KOKX,2023-08-10 00:00:00,6,558.7,4877.0,M,M,300.0,26,119.0,5.0
KOKX,2023-08-10 00:00:00,5,537.0,5186.0,-6.5,-53.5,M,M,119.0,6.0
